id;fecha;detalles;estado;metodo_de_pago;fecha_de_pago;monto_pagado;cliente_id;pedido_id
1;2020-05-10T17:37:33;SAS Function-based Florida;PAGADO;TARJETA_DE_CREDITO;2020-05-09T23:28:03;19803;1;1
2;2020-05-10T16:40:09;feed hacking;PAGADO;TARJETA_DE_CREDITO;2020-05-10T05:39:34;80094;2;2
3;2020-05-10T07:20:32;Personal Loan Account transmit Steel;EXPEDIDO;PAYPAL;2020-05-09T21:13:17;67261;3;3
4;2020-05-10T07:43:33;Crest;PAGADO;TARJETA_DE_CREDITO;2020-05-10T16:32:28;53446;4;4
5;2020-05-10T16:26:28;compressing Costa Rican Colon Delaware;CANCELADO;EFECTIVO;2020-05-10T04:13:34;30768;5;5
6;2020-05-10T12:36:36;Iceland Krona;EXPEDIDO;TARJETA_DE_CREDITO;2020-05-10T02:30:10;77486;6;6
7;2020-05-10T10:22:19;synthesizing Developer;EXPEDIDO;EFECTIVO;2020-05-09T21:23:58;527;7;7
8;2020-05-10T07:52:21;pricing structure;PAGADO;EFECTIVO;2020-05-09T20:05:21;63672;8;8
9;2020-05-10T10:42:02;value-added;CANCELADO;PAYPAL;2020-05-09T21:32:08;71159;9;9
10;2020-05-09T22:24:29;Kids;EXPEDIDO;EFECTIVO;2020-05-09T21:54:51;29271;10;10
